model,cv_roc_auc_mean,cv_log_loss_mean,cv_accuracy_mean,test_roc_auc,test_log_loss,test_brier,test_accuracy,best_threshold,best_params
lightgbm,0.6650374874618097,0.6315224861660792,0.637693950177936,0.6672782074512809,0.6339027387004552,0.22272598983016073,0.633307520612217,0.48,"{'n_estimators': 563, 'max_depth': 8, 'learning_rate': 0.011711509955524094, 'num_leaves': 84, 'subsample': 0.6682096494749166, 'colsample_bytree': 0.6260206371941118, 'reg_alpha': 3.4671276804481113, 'reg_lambda': 4.905556676028766, 'min_child_samples': 42}"
voting_ensemble,,,,0.6670248046969822,0.6340070394082478,0.22276452316746656,0.6327153464219013,0.47,"Voting: ['lightgbm', 'hist_gb', 'gb', 'xgboost', 'catboost']"
xgboost,0.6650376739935927,0.6318551614487841,0.6366690391459074,0.6665791606995606,0.6343205502544046,0.2228852665692595,0.6330342094474559,0.47,"{'n_estimators': 353, 'max_depth': 7, 'learning_rate': 0.016149614799999188, 'subsample': 0.9208787923016158, 'colsample_bytree': 0.6298202574719083, 'reg_alpha': 7.6204817861585425, 'reg_lambda': 0.08916674715636552, 'min_child_weight': 2}"
gb,0.6648714546500852,0.6317481503372441,0.6364128113879004,0.6662825547741511,0.6343147224556759,0.22288020225531757,0.6330342094474559,0.47,"{'n_estimators': 282, 'max_depth': 7, 'learning_rate': 0.019721610970574007, 'subsample': 0.8056937753654446, 'min_samples_split': 13, 'min_samples_leaf': 1}"
catboost,0.6640785104025987,0.6267438189012933,0.6418505338078292,0.6659215572328838,0.634729913354395,0.22307786563823262,0.6324192593267435,0.48,"{'iterations': 850, 'depth': 5, 'learning_rate': 0.01855998084649058, 'l2_leaf_reg': 4.4734294104626844e-07, 'bagging_temperature': 0.3042422429595377, 'random_strength': 0.00052821153945323}"
hist_gb,0.664183138154587,0.632475083242657,0.6354448398576512,0.6650946139652818,0.6346686076366463,0.2230637190728965,0.6318954129276181,0.47,"{'max_iter': 339, 'max_depth': 12, 'learning_rate': 0.01351182947645082, 'max_leaf_nodes': 38, 'min_samples_leaf': 7, 'l2_regularization': 8.471746987003668e-06}"
rf,0.6641796483427409,0.6348929890552294,0.6326997751443778,0.6637090741073935,0.635882934405933,0.2236103159347029,0.630779392338177,0.47,
log_reg,0.6618108140917757,0.6363358153013217,0.6325801860443443,0.6602359248870957,0.637637831742006,0.22437684897890003,0.6301644422174646,0.49,
extra_trees,0.6617768549805598,0.6360916748588855,0.6318741337259873,0.6598724766341469,0.6375796701732256,0.224346144287896,0.6291850772104041,0.53,
mlp,0.660928660740761,0.6364638880871255,0.6328933705851476,0.6568076939192982,0.6394524407350235,0.2251739490583193,0.6298911310527036,0.48,
adaboost,0.6426813241071501,0.6476606918059414,0.6274270873741119,0.6401356388475721,0.6496537047129366,0.22956952257826543,0.6274313305698538,0.53,
naive_bayes,0.6419295872033177,7.963337630010758,0.6196376303745849,0.6391763206802415,8.008648751901331,0.3758093213255879,0.6199836013301143,0.1,
knn,0.6280545297753061,0.727190220491031,0.5996230425882306,0.6284327934906615,0.7287525901021582,0.23887022276254652,0.6074112877511046,0.6,
